data,valor,centro_custo,forma_pagamento
2024-06-03,271.33,Rateio,Dinheiro
2024-06-04,183.33,Rateio,Dinheiro
2024-06-05,789.96,Rateio,Dinheiro
2024-06-06,10.27,Rateio,Dinheiro
2024-06-07,-16.34,Rateio,Dinheiro
2024-06-08,-45.84,Rateio,Dinheiro
2024-06-10,-30.84,Rateio,Dinheiro
2024-06-11,12.32,Rateio,Dinheiro
2024-06-12,28.42,Rateio,Dinheiro
2024-06-13,20.36,Rateio,Dinheiro
2024-06-14,23.36,Rateio,Dinheiro
2024-06-15,240.34,Rateio,Dinheiro
2024-06-17,20.34,Rateio,Dinheiro
2024-06-18,142.34,Rateio,Dinheiro
2024-06-19,83.12,Rateio,Dinheiro
2024-06-20,170.56,Rateio,Dinheiro
2024-06-21,82.27,Rateio,Dinheiro
2024-06-22,9.27,Rateio,Dinheiro
2024-06-24,9.27,Rateio,Dinheiro
2024-06-25,9.27,Rateio,Dinheiro
2024-06-26,53.11,Rateio,Dinheiro
2024-06-27,19.55,Rateio,Dinheiro
2024-06-28,115.85,Rateio,Dinheiro
2024-06-29,68.85,Rateio,Dinheiro
2024-07-01,41.85,Rateio,Dinheiro
2024-07-02,77.85,Rateio,Dinheiro
2024-07-03,50.52,Rateio,Dinheiro
2024-07-04,117.52,Rateio,Dinheiro
2024-07-05,247.59,Rateio,Dinheiro
2024-07-06,112.59,Rateio,Dinheiro
2024-07-09,278.59,Rateio,Dinheiro
2024-07-10,511.89,Rateio,Dinheiro
2024-07-11,339.44,Rateio,Dinheiro
2024-07-12,269.44,Rateio,Dinheiro
2024-07-13,41.44,Rateio,Dinheiro
2024-07-15,51.44,Rateio,Dinheiro
2024-07-16,49.04,Rateio,Dinheiro
2024-07-17,26.92,Rateio,Dinheiro
2024-07-18,62.92,Rateio,Dinheiro
2024-07-19,224.31,Rateio,Dinheiro
2024-07-20,413.31,Rateio,Dinheiro
2024-07-22,23.31,Rateio,Dinheiro
2024-07-23,143.31,Rateio,Dinheiro
2024-07-24,743.31,Rateio,Dinheiro
2024-07-25,256.31,Rateio,Dinheiro
2024-07-26,354.0,Rateio,Dinheiro
2024-07-27,214.0,Rateio,Dinheiro
2024-07-29,14.0,Rateio,Dinheiro
2024-07-30,339.0,Rateio,Dinheiro
2024-07-31,44.5,Rateio,Dinheiro
2024-08-01,53.4,Rateio,Dinheiro
2024-08-02,136.4,Rateio,Dinheiro
2024-08-03,88.4,Rateio,Dinheiro
2024-08-05,11.4,Rateio,Dinheiro
2024-08-06,120.4,Rateio,Dinheiro
2024-08-07,128.4,Rateio,Dinheiro
2024-08-08,32.4,Rateio,Dinheiro
2024-08-09,55.4,Rateio,Dinheiro
2024-08-10,331.4,Rateio,Dinheiro
2024-08-12,75.4,Rateio,Dinheiro
2024-08-13,30.4,Rateio,Dinheiro
2024-08-14,129.9,Rateio,Dinheiro
2024-08-15,101.9,Rateio,Dinheiro
2024-08-16,74.63,Rateio,Dinheiro
2024-08-17,64.45,Rateio,Dinheiro
2024-08-19,139.45,Rateio,Dinheiro
2024-08-20,169.45,Rateio,Dinheiro
2024-08-21,40.45,Rateio,Dinheiro
2024-08-22,62.45,Rateio,Dinheiro
2024-08-23,-3.41,Rateio,Dinheiro
2024-08-24,19.59,Rateio,Dinheiro
2024-08-26,19.59,Rateio,Dinheiro
2024-08-27,-6.65,Rateio,Dinheiro
2024-08-28,207.35,Rateio,Dinheiro
2024-08-29,-3.65,Rateio,Dinheiro
2024-08-30,360.35,Rateio,Dinheiro
2024-08-31,55.35,Rateio,Dinheiro
2024-09-02,5.35,Rateio,Dinheiro
2024-09-03,112.35,Rateio,Dinheiro
2024-09-04,48.35,Rateio,Dinheiro
2024-09-05,63.35,Rateio,Dinheiro
2024-09-06,-60.65,Rateio,Dinheiro
2024-09-09,60.35,Rateio,Dinheiro
2024-09-10,198.35,Rateio,Dinheiro
2024-09-11,114.53,Rateio,Dinheiro
2024-09-12,99.53,Rateio,Dinheiro
2024-09-13,95.5,Rateio,Dinheiro
2024-09-14,93.5,Rateio,Dinheiro
2024-09-16,51.5,Rateio,Dinheiro
2024-09-17,100.0,Rateio,Dinheiro
2024-09-18,-2.5,Rateio,Dinheiro
2024-09-19,29.5,Rateio,Dinheiro
2024-09-20,162.5,Rateio,Dinheiro
2024-09-21,154.5,Rateio,Dinheiro
2024-09-23,154.5,Rateio,Dinheiro
2024-09-24,27.5,Rateio,Dinheiro
2024-09-25,494.5,Rateio,Dinheiro
2024-09-26,106.5,Rateio,Dinheiro
2024-09-27,14.5,Rateio,Dinheiro
2024-09-28,235.5,Rateio,Dinheiro
2024-09-30,165.5,Rateio,Dinheiro
2024-10-01,127.1,Rateio,Dinheiro
2024-10-02,252.1,Rateio,Dinheiro
2024-10-03,618.1,Rateio,Dinheiro
2024-10-04,154.59,Rateio,Dinheiro
2024-10-05,-8.41,Rateio,Dinheiro
2024-10-07,212.59,Rateio,Dinheiro
2024-10-08,113.59,Rateio,Dinheiro
2024-10-09,477.59,Rateio,Dinheiro
2024-10-10,257.59,Rateio,Dinheiro
2024-10-11,979.55,Rateio,Dinheiro
2024-10-14,297.55,Rateio,Dinheiro
2024-10-15,198.55,Rateio,Dinheiro
2024-10-16,319.55,Rateio,Dinheiro
2024-10-17,109.55,Rateio,Dinheiro
2024-10-18,246.55,Rateio,Dinheiro
2024-10-19,181.27,Rateio,Dinheiro
2024-10-21,71.27,Rateio,Dinheiro
2024-10-22,27.27,Rateio,Dinheiro
2024-10-23,-36.62,Rateio,Dinheiro
2024-10-24,271.28,Rateio,Dinheiro
2024-10-25,161.38,Rateio,Dinheiro
2024-10-26,137.38,Rateio,Dinheiro
2024-10-28,124.38,Rateio,Dinheiro
2024-10-29,50.38,Rateio,Dinheiro
2024-10-30,375.0,Rateio,Dinheiro
2024-10-31,126.0,Rateio,Dinheiro
2024-11-01,30.65,Rateio,Dinheiro
2024-11-04,30.65,Rateio,Dinheiro
2024-11-05,19.57,Rateio,Dinheiro
2024-11-06,284.33,Rateio,Dinheiro
2024-11-07,814.0,Rateio,Dinheiro
2024-11-08,1101.69,Rateio,Dinheiro
2024-11-09,523.69,Rateio,Dinheiro
2024-11-11,267.0,Rateio,Dinheiro
2024-11-12,135.5,Rateio,Dinheiro
2024-11-13,6.5,Rateio,Dinheiro
2024-11-14,628.5,Rateio,Dinheiro
2024-11-16,611.05,Rateio,Dinheiro
2024-11-18,501.05,Rateio,Dinheiro
2024-11-19,101.5,Rateio,Dinheiro
2024-11-21,111.5,Rateio,Dinheiro
2024-11-22,209.5,Rateio,Dinheiro
2024-11-23,405.5,Rateio,Dinheiro
2024-11-25,602.0,Rateio,Dinheiro
2024-11-26,-38.22,Rateio,Dinheiro
2024-11-27,43.78,Rateio,Dinheiro
2024-11-28,111.78,Rateio,Dinheiro
2024-11-29,681.78,Rateio,Dinheiro
2024-11-30,100.78,Rateio,Dinheiro
2024-12-02,115.78,Rateio,Dinheiro
2024-12-03,35.78,Rateio,Dinheiro
2024-12-04,93.27,Rateio,Dinheiro
2024-12-05,405.57,Rateio,Dinheiro
2024-12-06,54.61,Rateio,Dinheiro
2024-12-07,132.89,Rateio,Dinheiro
2024-12-09,68.8,Rateio,Dinheiro
2024-12-10,235.8,Rateio,Dinheiro
2024-12-11,103.4,Rateio,Dinheiro
2024-12-13,134.31,Rateio,Dinheiro
2024-12-14,209.31,Rateio,Dinheiro
2024-12-16,209.31,Rateio,Dinheiro
2024-12-17,233.31,Rateio,Dinheiro
2024-12-18,210.81,Rateio,Dinheiro
2024-12-19,272.81,Rateio,Dinheiro
2024-12-20,268.84,Rateio,Dinheiro
2024-12-21,360.34,Rateio,Dinheiro
2024-12-23,64.38,Rateio,Dinheiro
2024-12-26,127.38,Rateio,Dinheiro
2024-12-27,75.35,Rateio,Dinheiro
2024-12-28,118.35,Rateio,Dinheiro
2024-12-30,284.35,Rateio,Dinheiro
2024-12-31,300.35,Rateio,Dinheiro
2025-01-01,300.35,Rateio,Dinheiro
2025-01-02,300.35,Rateio,Dinheiro
2025-01-03,770.4200000000001,Rateio,Dinheiro
2025-01-04,141.19000000000003,Rateio,Dinheiro
2025-01-05,222.19000000000003,Rateio,Dinheiro
2025-01-06,222.19000000000003,Rateio,Dinheiro
2025-01-07,326.19000000000005,Rateio,Dinheiro
2025-01-08,320.51,Rateio,Dinheiro
2025-01-09,1498.15,Rateio,Dinheiro
2025-01-10,301.1500000000001,Rateio,Dinheiro
2025-01-11,1185.34,Rateio,Dinheiro
2025-01-12,1457.34,Rateio,Dinheiro
2025-01-13,1457.34,Rateio,Dinheiro
2025-01-14,653.3400000000001,Rateio,Dinheiro
2025-01-15,343.9300000000002,Rateio,Dinheiro
2025-01-16,411.9300000000002,Rateio,Dinheiro
2025-01-17,338.9300000000002,Rateio,Dinheiro
2025-01-18,356.8300000000004,Rateio,Dinheiro
2025-01-19,387.8300000000004,Rateio,Dinheiro
2025-01-20,387.8300000000004,Rateio,Dinheiro
2025-01-21,385.8300000000004,Rateio,Dinheiro
2025-01-22,653.9200000000004,Rateio,Dinheiro
2025-01-23,1578.2500000000005,Rateio,Dinheiro
2025-01-24,486.1100000000001,Rateio,Dinheiro
2025-01-25,1175.79,Rateio,Dinheiro
2025-01-26,1175.79,Rateio,Dinheiro
2025-01-27,1175.79,Rateio,Dinheiro
2025-01-28,699.0999999999999,Rateio,Dinheiro
2025-01-29,507.6700000000001,Rateio,Dinheiro
2025-01-30,1046.39,Rateio,Dinheiro
2025-01-31,437.77,Rateio,Dinheiro
2025-02-01,641.92,Rateio,Dinheiro
2025-02-02,856.92,Rateio,Dinheiro
2025-02-03,856.92,Rateio,Dinheiro
2025-02-04,726.9200000000001,Rateio,Dinheiro
2025-02-05,569.3600000000001,Rateio,Dinheiro
2025-02-06,1009.36,Rateio,Dinheiro
2025-02-07,449.81,Rateio,Dinheiro
2025-02-08,678.9499999999998,Rateio,Dinheiro
2025-02-09,1214.9499999999998,Rateio,Dinheiro
2025-02-10,1214.9499999999998,Rateio,Dinheiro
2025-02-11,550.4699999999998,Rateio,Dinheiro
2025-02-12,363.4099999999999,Rateio,Dinheiro
2025-02-13,266.7499999999998,Rateio,Dinheiro
2025-02-14,384.5,Rateio,Dinheiro
2025-02-15,361.5,Rateio,Dinheiro
2025-02-16,551.5,Rateio,Dinheiro
2025-02-17,551.5,Rateio,Dinheiro
2025-02-18,480.55,Rateio,Dinheiro
2025-02-19,733.1699999999998,Rateio,Dinheiro
2025-02-20,1119.1899999999998,Rateio,Dinheiro
2025-02-21,1144.4899999999998,Rateio,Dinheiro
2025-02-22,799.0999999999999,Rateio,Dinheiro
2025-02-23,799.9499999999999,Rateio,Dinheiro
2025-02-24,799.9499999999999,Rateio,Dinheiro
2025-02-25,992.4999999999998,Rateio,Dinheiro
2025-02-26,1017.96,Rateio,Dinheiro
2025-02-27,963.87,Rateio,Dinheiro
2025-02-28,894.1700000000001,Rateio,Dinheiro
2025-03-01,871.89,Rateio,Dinheiro
2025-03-02,1178.39,Rateio,Dinheiro
2025-03-03,1178.39,Rateio,Dinheiro
2025-03-04,1178.39,Rateio,Dinheiro
2025-03-05,1178.39,Rateio,Dinheiro
2025-03-06,1178.39,Rateio,Dinheiro
2025-03-07,1621.39,Rateio,Dinheiro
2025-03-08,1419.3999999999996,Rateio,Dinheiro
2025-03-09,1377.4199999999996,Rateio,Dinheiro
2025-03-10,1377.4199999999996,Rateio,Dinheiro
2025-03-11,1025.0299999999995,Rateio,Dinheiro
2025-03-12,1565.8199999999997,Rateio,Dinheiro
2025-03-13,1757.8199999999997,Rateio,Dinheiro
2025-03-14,796.1199999999999,Rateio,Dinheiro
2025-03-15,775.8199999999997,Rateio,Dinheiro
2025-03-16,1179.9899999999998,Rateio,Dinheiro
2025-03-17,1179.9899999999998,Rateio,Dinheiro
2025-03-18,1437.1899999999996,Rateio,Dinheiro
2025-03-19,603.0799999999999,Rateio,Dinheiro
2025-03-20,888.0999999999999,Rateio,Dinheiro
2025-03-21,889.55,Rateio,Dinheiro
2025-03-22,1306.35,Rateio,Dinheiro
2025-03-23,1510.8400000000004,Rateio,Dinheiro
2025-03-24,1510.8400000000004,Rateio,Dinheiro
2025-03-25,659.6400000000001,Rateio,Dinheiro
2025-03-26,679.1400000000001,Rateio,Dinheiro
2025-03-27,720.7200000000001,Rateio,Dinheiro
2025-03-28,515.7700000000002,Rateio,Dinheiro
2025-03-29,1085.6900000000005,Rateio,Dinheiro
2025-03-30,1035.6900000000005,Rateio,Dinheiro
2025-03-31,1035.6900000000005,Rateio,Dinheiro
2025-04-01,314.59,Rateio,Dinheiro
2025-04-02,35.84999999999991,Rateio,Dinheiro
2025-04-03,734.5699999999999,Rateio,Dinheiro
2025-04-04,234.8699999999999,Rateio,Dinheiro
2025-04-05,37.86999999999989,Rateio,Dinheiro
2025-04-06,264.8699999999999,Rateio,Dinheiro
2025-04-07,264.8699999999999,Rateio,Dinheiro
2025-04-08,365.3499999999999,Rateio,Dinheiro
2025-04-09,114.34999999999992,Rateio,Dinheiro
2025-04-10,266.0499999999999,Rateio,Dinheiro
2025-04-11,72.55000000000018,Rateio,Dinheiro
2025-04-12,1010.0500000000002,Rateio,Dinheiro
2025-04-13,739.9500000000003,Rateio,Dinheiro
2025-04-14,739.9500000000003,Rateio,Dinheiro
2025-04-15,325.1600000000003,Rateio,Dinheiro
2025-04-16,696.5700000000004,Rateio,Dinheiro
2025-04-17,1086.7500000000005,Rateio,Dinheiro
2025-04-22,712.4200000000008,Rateio,Dinheiro
2025-04-23,375.4200000000008,Rateio,Dinheiro
2025-04-24,870.4200000000008,Rateio,Dinheiro
2025-04-25,394.3800000000008,Rateio,Dinheiro
2025-04-26,113.74000000000092,Rateio,Dinheiro
2025-04-27,324.8400000000008,Rateio,Dinheiro
2025-04-28,324.8400000000008,Rateio,Dinheiro
2025-04-29,239.84000000000083,Rateio,Dinheiro
2025-04-30,204.06000000000083,Rateio,Dinheiro
2025-05-24,285.56,Rateio,Dinheiro
2025-05-24,150.0,Rateio,Dinheiro
2025-05-24,285.56,Rateio,Dinheiro
2025-05-24,150.0,Rateio,Dinheiro
2025-05-24,150.0,Rateio,Dinheiro
2025-05-24,285.56,Rateio,Dinheiro
2025-05-24,150.0,Rateio,Dinheiro
2025-05-24,285.56,Rateio,Dinheiro
2025-05-24,285.56,Rateio,Dinheiro
2025-05-24,285.56,Rateio,Dinheiro
